pdf,region,page,image,size,issue
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Borders & Northumbria,161,Im2,1919x1227,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Highlands & Perthshire,167,"badge@23,556",-,badge not read (two badges overprinted)
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Highlands & Perthshire,167,Im0,1933x1196,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Highlands & Perthshire,167,Im1,1932x1196,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Highlands & Perthshire,168,Im0,1919x1227,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Highlands & Perthshire,168,Im1,1919x1227,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Cairngorms & River Dee,174,Im0,1919x1227,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Cairngorms & River Dee,174,Im1,1919x1227,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Cairngorms & River Dee,177,Im4,581x542,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,North West Highlands,180,Im0,1905x1227,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,North West Highlands,180,Im1,1907x1227,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,North West Highlands,181,Im5,284x204,no badge found
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Cornwall,-,-,-,"listings with no photo: [2, 4, 6, 15, 16, 17, 21, 22, 23, 33]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Dartmoor & South Devon,-,-,-,"listings with no photo: [4, 7, 13, 14, 18, 20, 21, 22, 33, 35, 44, 45]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Exmoor & North Devon,-,-,-,"listings with no photo: [2, 3, 5, 6, 7, 8, 20, 22, 23, 26, 27]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,"Dorset, Wilts & South Somerset",-,-,-,"listings with no photo: [1, 2, 3, 4, 8, 9, 11, 13, 14, 15, 17, 18, 20, 22, 23, 24, 25, 27, 29, 32, 37, 44, 45, 47, 48, 49, 50]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,Wye Valley & Somerset Avon,-,-,-,"listings with no photo: [1, 4, 10, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 32, 42, 43, 44, 45, 46, 50, 52, 55, 56, 57, 58, 59, 60, 61]"
Wild-Swimming-Britain-3rd-Ed-t0x6x2.pdf,"Hampshire, Surrey & Sussex",-,-,-,"listings with no photo: [1, 2, 4, 6, 7, 10, 12, 13, 14, 15, 16, 17, 20, 21, 22, 24, 30, 32, 33, 34]"
