"Grading","Country","Area","Town","Postcode","Name"
"3-star","England","Greater London South West","London","SW1Y 6JP","Red Lion"
"3-star","England","Greater London South West","Putney","SW15 1JN","Duke's Head"
"3-star","England","Greater London South West","Tooting","SW17 7PB","King's Head"
"3-star","England","Greater London South West","Wandsworth","SW18 2PT","Spread Eagle"
"3-star","England","Greater London West","Brentford","TW8 0EW","Express Tavern"
"3-star","England","Greater London West","Cranford","TW5 9PB","Queen's Head"
"3-star","England","Greater London West","Hammersmith","W6 9TA","Dove"
"3-star","England","Greater London West","Hammersmith","W6 9JJ","Hope & Anchor"
"3-star","England","Greater London West","Hayes End","UB4 8HX","Angel"
"3-star","England","Greater London West","Kensington","W8 7AR","Windsor Castle"
"3-star","England","Greater London West","Maida Vale","W9 1EH","Warrington Hotel"
"3-star","England","Greater London West","Maida Vale","W9 1EE","Prince Alfred"
"3-star","England","Greater London West","Northolt","UB5 4LA","Greenwood Hotel"
"3-star","England","Greater London West","Notting Hill","W11 1PY","Elgin"
"3-star","England","Greater London West","Paddington","W2 2NH","Victoria"
"3-star","England","Greater London West","West Ealing","W13 9EP","Forester"
"3-star","England","Greater Manchester","Broadheath","WA14 5NT","Railway"
"3-star","England","Greater Manchester","Bury","BL9 0LQ","Old White Lion"
"3-star","England","Greater Manchester","Eccles","M30 0BP","Lamb Hotel"
"3-star","England","Greater Manchester","Farnworth","BL4 7DN","Shakespeare"
"3-star","England","Greater Manchester","Gorton","M18 7FB","Plough"
"3-star","England","Greater Manchester","Heywood","OL10 4PR","Grapes Inn"
"3-star","England","Greater Manchester","Manchester","M4 1PN","Unicorn"
"3-star","England","Greater Manchester","Manchester","M4 1LE","Castle Hotel"
"3-star","England","Greater Manchester","Manchester","M4 4HY","Marble Arch"
"3-star","England","Greater Manchester","Manchester","M2 7AR","Mr Thomas's Chop House"
"3-star","England","Greater Manchester","Manchester","M1 5JQ","Peveril of the Peak"
"3-star","England","Greater Manchester","Manchester","M4 4AA","Hare & Hounds"
"3-star","England","Greater Manchester","Manchester","M1 4GX","Circus Tavern"
"3-star","England","Greater Manchester","Manchester","M1 5LE","Britons Protection"
"3-star","England","Greater Manchester","Oldham","OL1 1EN","Royal Oak Hotel"
"3-star","England","Greater Manchester","Patricroft","M30 0QN","Stanley Arms"
"3-star","England","Greater Manchester","Peel Green","M30 7HD","Grapes"
"3-star","England","Greater Manchester","Rochdale","OL11 5EU","Cemetery Hotel"
"3-star","England","Greater Manchester","Stockport","SK1 1RY","Swan with Two Necks"
"3-star","England","Greater Manchester","Stockport","SK1 2LX","Arden Arms"
"3-star","England","Greater Manchester","Stockport","SK3 9NJ","Alexandra"
"3-star","England","Greater Manchester","Stockport","SK4 2NA","Nursery Inn"
"3-star","England","Greater Manchester","Weaste","M5 5NN","Coach & Horses"
"3-star","England","Greater Manchester","Westhoughton","BL5 3AN","White Lion"
"3-star","England","Greater Manchester","Wigan","WN6 7BB","Springfield Hotel"
