name,country,county,lat,lng,total_routes,rocktype,already_on_map,url
Dow Crag,England,Cumbria,54.3703,-3.1366,153,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/dow_crag_cumbria-355
Dungeon Ghyll,England,Cumbria,54.44972,-3.10278,3,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/dungeon_ghyll-1825
Eagle Crag (Grisedale),England,Cumbria,54.52,-2.9947,53,Rhyolite,,https://www.ukclimbing.com/logbook/crags/eagle_crag_grisedale-448
Easdale Gill,England,Cumbria,54.4666,-3.08278,1,Rhyolite,,https://www.ukclimbing.com/logbook/crags/easdale_gill-10800
Easedale Gill,England,Cumbria,54.46912,-3.05264,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/easedale_gill-11922
Eel Crag (Coledale),England,Cumbria,54.5758,-3.2497,4,Slate,,https://www.ukclimbing.com/logbook/crags/eel_crag_coledale-1842
Esk Buttress (Dow Crag),England,Cumbria,54.4478,-3.1983,55,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/esk_buttress_dow_crag-724
Esk Pike,England,Cumbria,54.4571,-3.1793,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/esk_pike-14927
Fall crag,England,Cumbria,54.52009,-2.91375,10,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/fall_crag-19593
Far Hill Crag,England,Cumbria,54.3801,-3.1435,27,Rhyolite,,https://www.ukclimbing.com/logbook/crags/far_hill_crag-368
Fisherplace Gill,England,Cumbria,54.55528,-3.05139,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/fisherplace_gill-1862
Galeforth Gill,England,Cumbria,54.45222,-2.79417,2,Ice,,https://www.ukclimbing.com/logbook/crags/galeforth_gill-15996
Gillercombe,England,Cumbria,54.5019,-3.2021,41,Rhyolite,yes,https://www.ukclimbing.com/logbook/crags/gillercombe-763
Gimmer Crag,England,Cumbria,54.4531,-3.1153,113,Rhyolite,,https://www.ukclimbing.com/logbook/crags/gimmer_crag-345
Glaramara,England,Cumbria,54.48397,-3.16508,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/glaramara-14986
Glenridding Beck,England,Cumbria,54.54748,-2.98118,1,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/glenridding_beck-26494
Goat Crag (Buttermere),England,Cumbria,54.53556,-3.25333,2,UNKNOWN,,https://www.ukclimbing.com/logbook/crags/goat_crag_buttermere-1857
