Name,Description,Walk time,Location,Tags
"WOOLLARD, R CHEW","A secluded secret pool beneath an old weir on edge of meadows. It once powered the tin mill, one of the largest mills of its kind in the Chew valley, the remains of which can still be seen. Park at E end of Woollard bridge by noticeboard and just up hill, follow path on R over stream, opp Brook Cottage, BS39 4HU. The ruins are 150m along fence on L, then cross field to find pool.",3 mins,"51.3765, -2.5301","[""Long swim possible"", ""Heritage / ruins""]"
"PUBLOW BRIDGE, R CHEW","Large, pretty pool with shelving beach and rope swing, under bridge next to church. Park at church, BS39 4HP. The L bank path by church follows the river all the way to Woollard with a beautiful pond just along the way (private fishing, 51.3732, -2.5352).",1 mins,"51.3754, -2.5433","[""Long swim possible"", ""Kids / paddling""]"
"PENSFORD WEIR, R CHEW","A little path crosses the arches of the village weir to garden of The Rising Sun pub with a little pool beneath, popular for paddling and a dip in summer, and railway viaduct above. The path continues upstream under the towering viaduct arches so you can explore other pools too – look on the bends. The pub has a very small car park to rear (BS39 4AQ, 01761 490006), so best to walk from Publow.",2 mins,"51.3712, -2.5508","[""Pub"", ""Long swim possible"", ""Kids / paddling""]"
GREYFIELD WOOD & WATERFALL,"Stream and waterfalls to explore in this mix of ancient woodland and newer planting, which links to Stephen’s Vale nature reserve. Turn L off Greyfield Rd, ½ mile NW of High Littleton and find car park at BS39 6YE, 51.3236, -2.5196.",5 mins,"51.3188, -2.5205","[""Nature / wild flowers"", ""Waterfall"", ""Kids / paddling""]"
LITTON RESERVOIR,"A path follows the N shores of this long, hidden lake. Primroses, wood anemones, violets and red campions in spring. It’s No Swimming, but people do dip if there are no anglers. Entering Litton from Chewton, park in village and take the second R after The Litton pub (pretty stream-side garden, BA3 4PW, 01761 241301). Take R at end, and find path on L after 200m, BA3 4PS.",10 mins,"51.2921, -2.5821","[""Pub"", ""Long swim possible"", ""Uncertain access""]"
"CHEW VALLEY LAKE, SUTTON WICK","Beautiful remote beach shore, perfect for sunset, but no access without fishing permit, Better stick to the NE shore with full public access: Picnic Area 2/Grebe Trail are less busy. No Swimming. Walley Lane 51.3435, -2.6038.",3 mins,"51.3301, -2.6115","[""Uncertain access""]"
BABYLON BROOK/STRODE WATERFALL,"A hidden waterfall in the woods just off the public footpath. It's on private land so please respect any signage. Park near St Andrew’s church in Chew Stoke, BS40 8TU. Take track through gates (dir Long House Farm) then turn L at barn. Continue on track, then path, through three fields ¾ mile to the woods. Waterfall stream is adjacent just to S. See strodewaterfall.earth for future wild spa and sauna events by the waterfall.",20 mins,"51.3509, -2.6513","[""Long swim possible"", ""Private land, be discreet"", ""Uncertain access""]"
"BLAGDON LAKE, BUTCOMBE","A beautiful reservoir, nestled in the folds of a long, lush valley, with the Mendip escarpment rearing up to the S. Early in the season this meadow it is a blissful place to picnic and, despite ‘No Swimming’ signs, people do swim here. Later in the season the water levels fall and weeds proliferate. Park at N end of the dam, BS40 7UN, and follow the shore path NE. After about 10 mins, having crossed two footbridges and passed through some woodland, find the lakeside meadow on R. It’s a lovely cycle ride out here from Bristol via Long Ashton, Barrow Gurney and Felton. Do not disturb the anglers.",15 mins,"51.3427, -2.7039","[""Kids / paddling"", ""Long swim possible"", ""Uncertain access"", ""Nature / wild flowers""]"
"RIVER YEO, YATTON","Small meandering river with steep, grassy embankments, a great place to sunbathe out of sight and on the site of a Roman villa. The water is clear, silky and reedy – perfect for a long swim – though it can weed over later in the season. From Yatton station/ NCN route 26 take Wembersham Lane and continue a mile to the end (tricky parking, BS49 4BT). Follow path/track along until the ditch reaches the river then head downstream 300m.",10 mins,"51.3827, -2.8587","[""On a cycle route"", ""Long swim possible"", ""Secluded, remote""]"
"GOLDEN VALLEY, WICK","Follow the wooded valley nature reserve along the R Boyd to find the ruined buildings of the old ochre works, closed in 1968. There’s a weir and waterfall as the path heads steeply up on steps to Raven’s Rock lookout. The water is a natural and harmless red colour from the iron oxide.",10 mins,"51.4567, -2.4215","[""Heritage / ruins"", ""Nature / wild flowers"", ""Mine / industry"", ""Long swim possible"", ""Waterfall""]"
BITTON PICNIC AREA & SALTFORD,"This grassy riverside picnic site is easy to reach by bicycle from Bath or Bristol. There’s a wooden boat landing stage from which it’s fun to jump in. Or watch local kids leap from the railway bridge. On cycle path a mile S of A431 Bitton station, BS30 6HD. The Jolly Sailor in Saltford, BS31 3ER, is also a very popular swimming spot nearby, with a good rope swing on the opp bank above the weir, 51.4094, -2.4435.",20 mins,"51.4171, -2.46","[""On a cycle route"", ""Pub"", ""Long swim possible"", ""Take extra care""]"
"FROME VALLEY, BURY HILL","A quick Bristol escape to a pretty river walk with paddling and a dip. Turn sharp R off Worrell’s Ln as it enters Winterbourne Down (BS36 1BS) into Bury Hill (lane signed Frome Valley Walkway), and park L after bridge. Follow signed path upstream. After ½ mile (150m after crossing main road at Damson Bridge) there is a deep dip on the bend, and Huckford Quarry Nature Reserve 500m beyond. Also, 200m further along lane from parking is a path up on L past a house to Bury hillfort.",20 mins,"51.5138, -2.4933","[""Long swim possible"", ""Walk in""]"
CONHAM RIVER PARK,"The river runs through a mini gorge for almost a mile here, a green-blue corridor into the suburbs of Bristol. What quality is alright, as it’s upstream of the city, but keep to breaststroke. On the S bank head for Beese’s riverside tea room and pub, established in 1846 by the wife of a ferryman (BS4 4SX, 01179 777412, parking on Wyndham Crescent). For N side start at the car park on Conham Rd, BS15 3AW. Another good city spot is downstream near Hanham Lock. From the big car park by the Chequers Inn on the river at, BS15 3NU, head downstream to the point (51.4250, -2.5079).",10 mins,"51.4444, -2.5365","[""Long swim possible"", ""Walk in""]"
WEST COUNTRY WATER PARK,"Man-made freshwater lake with swimming course and plunge platform. Beautiful floating sauna with lake views. £8.50 per swim, £15 per swim/sauna. The Lake Trench Lane, Bradley Stoke, BS36 1RY. 01454 538538.",2 mins,"51.5424, -2.5374","[""Entry fee""]"
"ABBOT’S POOL, ABBOTS LEIGH","A large, dark lily-pad pool in the woods with a little stone grotto. One of a series of pools used by medieval monks for fish farming. No Swimming signs due to antisocial behaviour and parking issues but still popular among local families in summer. From Abbots Leigh (A369) turn down Manor Road, by the George Inn (BS8 3RP, 01275 376985), and find track on R after about 1 mile (signed to the pool, BS8 3RR).",5 mins,"51.4566, -2.669","[""Uncertain access""]"
"LONGPARISH, R TEST","Exquisite stretch of the young Test alongside a tiny lane leading to a footbridge. Or follow lane down past millhouse, across water meadows and into Longparish (Cricketers Inn, SP11 6PZ, 01264 720335) . Mainly shallow but lots of grassy banks and perfect for picnics.",30 mins,"51.2011, -1.3661","[""Kids / paddling"", ""Pub""]"
"GOODWORTH CLATFORD, R ANTON","Community riverbanks. Shallow but great for kids. Park alongside Royal Oak (SP11 7QY, 07958592021). 4km downstream is the riverside Mayfly where the Anton meets the Test, with bridge across to its own island (SO20 6AX, 01264 860283).",2 mins,"51.1784, -1.4819","[""Kids / paddling"", ""Pub""]"
"CHILBOLTON COW COMMON, R TEST","Ancient rural common ans SSSI with paddling in crystal-clear pools by footbridge. Park at end of Joy’s Lane (51.1578, -1.4428) then footbridge is 200m N. Or cross over from S end of Wherwell (SP11 7JS) over a much longer wooden footbridge/walkway.",20 mins,"51.1591, -1.4442","[""Kids / paddling""]"
"COMMON MARSH, STOCKBRIDGE","Common land, good for picnics or paddling (SO20 6JA). Park in Stockbridge (51.1101, -1.4909) and follow river downstream. Most popular spot is 800m.",10 mins,"51.1040, -1.4973",[]
"HOUGHTON, R TEST","A wide, white chalk stream and wooden footbridge. Crowsfoot and water buttercup in spring. Once very popular now partly fenced off. Entering Houghton (S020 6LU) from Stockbridge, find footpath at end of village on L, signed Clarendon Way, and follow it to bridge.",2 mins,"51.0843, -1.5119","[""Kids / paddling""]"
"MOTTISFONT, R DUNN","Delightful, secluded stream tributary of the Test, near lovely Mottisfont House and water gardens. However the fishermen here might not smile upon you if you go swimming but we saw someone having a plunge. Walk down Church Lane from Mottisfont village (SO51 0LP). Continue on Test Way 750m to meet river and footbridge.",10 mins,"51.0325, -1.5372","[""Nature / wild flowers"", ""Uncertain access""]"
"OVINGTON, R ITCHEN","Lush meadows praised by William Cobbett as ‘one of the prettiest places in the country’. Riverside pub with footbridge and riverside walk, shallow. Idyllic but No Swimming, just paddling. Bush Inn (SO24 0RE, 01962 732764).",5 mins,"51.0831, -1.2003","[""Kids / paddling"", ""Pub""]"
"ST CROSS WINCHESTER, R ITCHEN","Water meadows and deepish pools behind this wonderful ancient almshouse and church (more like a cathedral). Park on Garnier Rd (51.0519, -1.3172, SO23 9QG) and walk S along the river meadows 600m.",10 mins,"51.0477, -1.3197","[""Kids / paddling"", ""Heritage / ruins"", ""Long swim possible""]"
"TWYFORD, R ITCHEN","Once an old turf lock, this is now one of the few deep pools on the Itchen. Footbridge and waterfall chute, partly lined with concrete. Clear and cold! Some people like to jump. 800m walk from Shawford station. Or Berry Lane (SO21 1NS) and continue from church over footbridge, 500m along fence boundary to pool. Tumbling Bay sluices 800m upstream. Continue downstream for lively, bubbly but mainly shallow stream with lots of trout fishing. One of the biggest pools is after 3km at the river and navigation confluence, Otterbourne 51.0068, -1.3307",10 mins,"51.0272, -1.3221","[""Jump or rope swing"", ""Kids / paddling"", ""Near a train station""]"
"EASTLEIGH, R ITCHEN","Open and pastoral section of this glorious chalk stream, hidden behind railway siding. Car park on B3037 rugby club, then up to 1km upstream.",10 mins,"50.9790, -1.3431","[""Jump or rope swing"", ""Kids / paddling"", ""Near a train station""]"
BOLDERFORD BRIDGE & QUEEN BOWER,"Footbridge and paddling from a shingle beach with rope swings. Upstream are ancient oaks in a grassy clearing. Paddling only. Adjacent to Long Meadow Campsite or 500m walk from Ober Corner forest car park (SO42 7QD 50.8309, -1.5968).",15 mins,"50.8357, -1.5882","[""Kids / paddling"", ""Nature / wild flowers"", ""Walk in""]"
"BALMERLAWN, BROCKENHURST",Very popular for picnics and paddling. Grassy banks with deeper pool near the bridge. Right by the road with car park.,2 mins,"50.8266, -1.5707","[""Kids / paddling"", ""Long swim possible""]"
"KING’S HAT, R BEAULIEU","Footbridge, pools and paddling in the little stream, deep in the enchanted woods. Children love it. A mile N of Beaulieu on B3056, before SO42 7YP, turn R (signed Ipley Cross). Large woodland car park.",2 mins,"50.8462, -1.4543","[""Kids / paddling"", ""Nature / wild flowers""]"
"BUCKLERS HARD, R BEAULIEU","A short walk upstream from this famous 18th-century boat-builders’ village are quiet wooded bends in the river, perfect for a secluded dip at high tide. A bit muddy. Follow the Solent Way footpath upstream, past all the boats and boatyard. 500m beyond the last find a little path on the R, to a bird hide which leads to the shoreline beyond.",10 mins,"50.8053, -1.4249","[""Long swim possible"", ""Pub""]"
"ANDARK LAKE, SOUTHAMPTON","Small pretty lake with OWS, sauna and cafe. Oslands Ln, SO31 7FL, 01489 581755",2 mins,"50.8803, -1.2913","[""Entry fee""]"
"OLD BASING, R LODDON","The young Loddon is only a stream here, but there's a fun rope swing from the old tree and a deep corner pool where the tributary enters. Park by Village Hall (RG24 7DA) and take Newnham Lane for 500m to find drive with footpath on L, then 150m.",10 mins,"51.2815, -1.0379","[""Kids / paddling"", ""Jump or rope swing""]"
SHERFIELD-ON-LODDON,"Mill pool in meadows behind Longbridge Mill pub (RG27 0DL, 01256 883483).",5 mins,"51.3189, -1.0199","[""Pub"", ""Kids / paddling""]"
ODIHAM CASTLE & GREYWELL,"Spring-fed crystal clear canal with ethereal hues by pretty Odiham Castle. Descend to canal and old tunnel from Greywell (Fox & Goose, Hook RG29 1BY) and N 1km to swim just before the ruins. Or behind the village church (RG29 1DB) explore the banks of the Whitewater chalk stream. S 300m along the stream there are pretty clear pools, before the millhouse, but these are also popular with trout fishermen (51.2510, -0.9734).",10 mins,"51.2606, -0.9629","[""Uncertain access"", ""Secluded, remote""]"
"TUNDRY POND, DOGMERSFIELD","Open parkland with lake and picnic tables. Warm but rather shallow. Head S from Domersfield and 500m past the church find footpath on R, through white garden gates of Double Bridge Fm (RG27 8TB). Or E of Basingstoke Canal.",10 mins,"51.2656, -0.8901","[""Uncertain access"", ""Secluded, remote""]"
"BOURLEY BOTTOM, ALDERSHOT","Series of abandoned reservoir lakes in pine forest on MOD training land. Popular with locals and kids in summer. Layby parking at 51.2520, -0.8108 then follow the gated forest track up.",15 mins,"51.2488, -0.8117","[""Long swim possible""]"
"THE QUAYS, MYTCHETT","Former gravel pit fed by four underground springs, which keep the lake fresh and clean. The depth of the water ranges from 2.5m to 3m at the deepest. OWS throughout the year with lifeguards on duty. Wetsuits are not compulsory. Coleford Bridge Rd, GU16 6DS, quayswim.co.uk.",6 mins,"51.2946, -0.7370","[""Entry fee""]"
"FRENSHAM GREAT POND, FARNHAM","Sandy lake with beaches and buoyed-off swimming area. Set within forest and open heathland. Parking, café and small museum. Popular with families.",5 mins,"51.1575, -0.7919","[""Food / facilities"", ""Campsite"", ""Kids / paddling"", ""Long swim possible""]"
TILFORD GREEN & STOCKBRIDGE POND,"Popular village green and pub. Paddling and pools just downstream of the bridge. Also try nearby Stockbridge Pond and the River Wey. Parking opposite Barley Mow pub (GU10 2BU, 01252 792205). For the pond, head S (dir Rushmoor) and after 200m find track byway on L (500m, 51.1793, -0.7419). If fishermen here head on 300m, bearing L into Yagden Heath, to find the R Wey with tree and rope swings on L (51.1797, -0.7353).",10 mins,"51.182, -0.7499","[""Kids / paddling"", ""Pub"", ""Long swim possible""]"
"ELSTEAD & THUNDRY, R WEY","The Mill at Elstead is a famous riverside pub with working wheel (GU8 6LE, 01252 703333). Just 100m E along road is a riverside footpath which leads to a large meander and pool (500m). Or 600m W along the road, just after turning for Seale on R, find layby, gate and footpath on L into beautiful Thundry riverside meadows and nature reserve 951.1873, -0.7149).",5 mins,"51.1899, -0.7056","[""Nature / wild flowers"", ""Secluded, remote"", ""Long swim possible""]"
"GODALMING, R WEY","Meadow, ancient oaks and deep water. From Ragged Robin hotel (A3100/ Guildford Rd, GU7 3BX) follow river path downstream to open fields and meadow (300m). People also swim in town from the Phillips Memorial Park near the bandstand 51.1878, -0.6152.",10 mins,"51.1974, -0.5887","[""Pub"", ""Long swim possible"", ""Near a train station""]"
"ST CATHERINE’S HILL, R WEY","Bridge for jumping from and a ruined chapel on the old Pilgrims' Way. Steep sandy banks kids love to run down. Access down Ferry Lane near Ye Olde Ship Inn, A3100 (GU2 4EB) but very limited parking. Better to walk there 30 mins from Shalford Station on the towpath, crossing over at St Catherine’s Lock. You could swim anywhere along here, but the bank is steep.",20 mins,"51.2243, -0.5772","[""Long swim possible"", ""Near a train station"", ""Jump or rope swing"", ""Pub"", ""On a cycle route""]"
"NEWARK PRIORY, R WEY","The Wey runs broad through the open water meadows and the romantic ruins of the Augustinian priory stand silent on a river island. There's a handy car park near the river bridge (GU23 7ES). The meadows are upstream to the L, 750m to Papercourt Lock with salmon-leap stepped pools. The ruins are downstream, visible across the field from the lock.",5 mins,"51.3052, -0.5119","[""Uncertain access"", ""Heritage / ruins""]"
"BOLDER MERE, OCKHAM COMMON","Just off the M25 near RHS Wisley, a nature reserve but a popular spot for a discreet dip, though a bit muddy, and road noise. Car park for Ockham Common, KT11 1NR.",5 mins,"51.3135, -0.457","[""Uncertain access"", ""Nature / wild flowers""]"
"STEPPING STONES, RIVER MOLE","Famous stepping stones on the River Mole at Box Hill Country Park. Deeper sections upstream, or in the meadows downstream. Drop down from the main viewpoint and car park for Box Hill, following the North Downs Way. Or walk down the A24 for 5 mins from the Stepping Stones pub (RH5 6BS, 01306 889932) to find footpath on L. Box Hill & Westhumble train station.",10 mins,"51.2488, -0.3216","[""Kids / paddling"", ""Sunset / view"", ""Near a train station""]"
"STEDHAM, R ROTHER","Open fields downstream and some deeper pools, on the way to Stedham Mill. Path and parking at 50.9977, -0.7734 200m N of Stedham Bridge. After the mill it's beautiful below the stepping stones and weir but too shallow. But another 1km brings you back to the river again with more pools upstream of Woolbeding Bridge (50.9916, -0.7625).",5 mins,"51.0003, -0.7715","[""Secluded, remote"", ""Long swim possible""]"
"MIDHURST, R ROTHER","Sandy Bay is the traditional place for a paddle and dip, in front of the wonderful Cowdray ruins. Or for much deeper swimming explore upstream. From main car park in Midhurst (GU29 9DJ) walk to ruins. Swim spot is 100m upstream from the bridge. To explore the deep and secret wooded river upstream head NE out of Midhurst, L at roundabout signed Fernhurst and Haslemere and take the footpath by the medical centre after 50m (GU29 9AW)",10 mins,"50.9890, -0.7329","[""Kids / paddling"", ""Heritage / ruins""]"
"GREATHAM BRIDGE, R ARUN",Good access to Arun and views of the medieval stone bridge. Steep banks. Leading to Waltham Brooks Nature Reserve. A mile E of Coldwaltham (A29). Parking by bridge (before RH20 2ES).,5 mins,"50.9363, -0.5336","[""Nature / wild flowers"", ""Long swim possible"", ""Tidal""]"
"BURY, R ARUN","A tiny dead-end hamlet with lovely grassy riverbanks downstream. Some people like to swim with the current up or downstream depending on the tide. 4 miles N of Arundel on A29, turn R at Squire & Horse (RH20 1NS) down into Bury and then Houghton dead-end hamlet (limited parking). Take footpath downstream 300m. Or explore upstream from Amberley riverside park (BN18 9GY).",5 mins,"50.9055, -0.5562","[""Near a train station"", ""Long swim possible"", ""Secluded, remote"", ""Good for SUPs""]"
"SOUTHSTOKE BRIDGE, R ARUN","Quiet hidden stretch of the Arun, up narrow lanes N of the castle, or a pleasant walk upstream from the castle. White metal footbridge. High tide only. From Arundel, follow Mill Rd past castle and lake, for a mile until T junction. Turn L signed ‘S Stoke’ and continue a mile to church (BN18 9PF). Limited parking.",5 mins,"50.8817, -0.5417","[""Good for SUPs"", ""Long swim possible"", ""Tidal""]"
HATTERELL BRIDGE & KNEPP,"Knepp Estate, home of the famous rewilding project, won't thank you for swimming in their huge mill pond, one of the largest stretches of water in Sussex, but downstream on the young, narrow River Adur is a bucolic stretch of remote meadows. From the Green Man pub (B2135, Partridge Green, RH13 8JT) find the bridleway which leads 1km W to the river, crossing the old Downs Link railway (NCN223). Best swimming downstream 400m. Or follow upstream 2km through West Grinstead into the Knepp Estate (50.9783, -0.3542).",5 mins,"50.9650, -0.3232","[""On a cycle route"", ""Walk in""]"
"WATERFORD MARSH, R BEANE",Pretty meadow and young willow-lined river for paddling and a dip. Waterford is 2 miles N of Hertford on A119. Take first R (Vicarage Ln) to find footpath on R after 200m onto common (SG14 2QA).,10 mins,"51.8141, -0.0937","[""Kids / paddling"", ""Long swim possible""]"
"BENGEO, R BEANE","River meadow and footbridge with good swimming spots up or downstream, including a weir and waterfall. Find St Leonard’s Church (SG14 3JW). Pass through gate onto Hartham Common 100m to footbridge for a little beach. Or cross and continue for more deep stretches. Close to Hertford East station (head N via Mill Rd, across the canal, 500m) or Hertford North Station.",5 mins,"51.8063, -0.0687","[""Kids / paddling"", ""Near a train station"", ""Long swim possible""]"
LEE VALLEY WHITE WATER CENTRE,"I’m not sure how they pump all that water, but you can swim down the huge artificial rapids on a hydrospeed board – good practise for your white water swimming skills! Or just book an OWS session. Waltham Cross, EN9 1AB, 0300 0030616, better.org.uk/destinations/lee-valley",2 mins,"51.6888, -0.0171","[""Entry fee""]"
"NAZEING MEAD LAKES, BROXBOURNE","Three pleasant lakes used for fishing and sailing, on cycle route S of Dobb’s Weir. Good footpath access to shores. Between Broxbourne and Lower Nazeing, B194, turn off N on National Cycle Route 1 from B194/ Nazeing Rd (up Nursery Rd, EN9 2HU). First lake is after 200m on L. Or access from Dobbs Weir. Watch for blue-green algae in late summer.",10 mins,"51.7411, 0.0079","[""On a cycle route"", ""Uncertain access"", ""Near a train station""]"
"GLEN FABA, DOBBS WEIR","One of the most secluded and cleanest lakes in the Lea Valley area. From Fish and Eels pub, Dobbs Weir Rd (EN11 0AY, 01992 466073) take footpath upstream NE and cross the footbridge on R to reach lake shore after 500m, under pylons. Or from end of Glen Faba Rd (CM19 5JW).",10 mins,"51.7592, 0.0194","[""Pub"", ""Uncertain access"", ""Secluded, remote""]"
"REDRICKS LAKES, SAWBRIDGEWORTH","Beautiful lakes with lifeguards amid the natural beauty of the Hertfordshire countryside. The Dancing Crayfish Café offers breakfast rolls, pizzas and hot beverages, and a good vegetarian selection. Glamping is available nearby at Cre8 Glamping (cre8-glamping.co.uk). CM21 ORL, 07815 294712, redrickslakes.co.uk",2 mins,"51.7908, 0.1200","[""Entry fee""]"
"SAWBRIDGEWORTH, R STORT","A pretty rural stretch of river for a mile down to Feakes Lock. Follow the Stort Walkway S from Sheering Mill Lane (CM21 9LR) in Sawbridgeworth, or via Pishiobury Park Car Park (height restrictions), A1184 (CM21 0AL).",15 mins,"51.8035, 0.1538","[""Near a train station"", ""Long swim possible""]"
HADLEIGH COUNTRY PARK,"Small but perfectly formed man-made supervised lake with spectacular views across the Thames Estuary. SS7 2PP, hadleighplungersows.co.uk",5 mins,"51.5503, 0.597","[""Entry fee""]"
"LITTLE BADDOW LOCK, R CHELMER","Dip with the local swim groups near the lock and weir, a beautiful quiet stretch. Park at bridge (CM3 3DS, 51.7486, 0.5524) then upstream W on towpath 300m. Or continue upstream 1km to Stonham's Lock. Downstream from the bridge is Papermill Lock with tearooms. CM3 4BS, 01245 225520.",5 mins,"51.7463, 0.5476",[]
"TRIFARM, BOREHAM","Family and dog-friendly lifeguarded lake, with showers and cafe. Hosts its own annual sprint triathlon. Church Road, CM3 3DS, 07546 560765 trifarm.co.uk. Access to the lake is by a ramp or steps.",5 mins,"51.7503, 0.5511","[""Entry fee""]"
"ULTING & HOEMILL BR, R CHELMER","Lovely clean swimming and canoeing, for up to two miles downstream of bridge, or opposite pretty All Saints Church. Watch out for boats. Signed Nounsley/Ulting off B1019 at S end of Hatfield Peverel. From Ulting (after CM9 6QU) head S to the causeway and lock. Follow the footpath downstream. Limited parking, cycle route 1. Also explore downstream from Boreham Bridge, upstream (51.7485, 0.5596).",5 mins,"51.7485, 0.6081","[""Long swim possible"", ""Good for SUPs""]"
"GOSFIELD LAKE RESORT, HALSTEAD","Enjoy a lake swim in the gentle rolling hills of rural Essex and pitch your tent next to the lake afterwards. Lifeguards, cafe and toilets. Great for those starting out as the lake is mostly 5ft deep. Access to the lake is via a jetty. Take Church Rd E off the A1017 going through Gosfield and continue for 750m. Church Road, CO9 1UD, @ gosfieldlakeopenwaterswimming",5 mins,"51.9345, 0.5806","[""Entry fee""]"
THORRINGTON TIDE MILL AND POND,"This restored water mill (open bank holidays and last Sunday of month April–September) stands by a pretty mill pond and creek. Sign on entrance, L on B1029 one mile N of Brightlingsea (CO7 8JL).",5 mins,"51.8350, 1.0204","[""Heritage / ruins"", ""Uncertain access""]"
"LONG MELFORD, R STOUR",Follow the St Edmund Way path past the weir pool and through meadows along the river. Follow Liston Ln W out of Long Melford (CO10 9RF) to find footpath on R after 200m to weir and footbridge.,5 mins,"52.0728, 0.708","[""Good for SUPs"", ""Long swim possible""]"
"SUDBURY, R STOUR","Many good spots in the meadow on the W edge of Sudbury, including this large weir pool with beach, behind the hospital and church. Signed Sudbury Meadows from the main church (down Croft Rd, CO10 1HR) then explore downstream 50m to weir pool, or upstream for over a mile into meadows. Much quieter and more rural sections of the river are at Borley (52.0530, 0.7129, behind CO10 7AB).",10 mins,"52.0408, 0.7235","[""On a cycle route"", ""Good for SUPs"", ""Long swim possible""]"
"WISSINGTON, R STOUR","Lovely walk past pretty church. In Nayland, take Wiston Rd off A134 at Nags Corner (CO6 4LS), then after a mile L signed Wiston Church. Walk past church to river and footbridge, exploring downstream all the way to the weir. More remote spots 2 miles upstream at Wormingford (51.9615, 0.8086).",10 mins,"51.9628, 0.8495","[""Church / chapel"", ""Long swim possible""]"
"NAYLAND, R STOUR","The river winds through open water meadows here, with deep sections and a waterside pub where you can land a canoe. Follow the footpath from behind the lovely Anchor Inn, Court St (CO6 4JL, 01206 262313). Stroll downstream as far as the footbridge and walk back on the other bank.",10 mins,"51.9675, 0.8725","[""Good for SUPs"", ""Pub"", ""Long swim possible""]"
"DEDHAM VALE, R STOUR","A beautiful, open and historic vale, site of Flatford Mill, where people row boats and occasionally swim. Fen Bridge is a quiet spot with deep pools and shelving access. Some weeds to watch for. Park at Dedham Bridge, opposite the Boatyard (restaurant and rowing boat hire, CO7 6DH, 01206 323153). Follow footpath downstream 1km (L bank) to Fen Bridge. Or 45 mins walk on the St Edmund Way from Manningtree Station via Flatford Mill.",15 mins,"51.9623, 1.0079","[""Good for SUPs"", ""Near a train station"", ""Food / facilities"", ""Long swim possible""]"
LUXBOROUGH LAKES,"OWS at the far-eastern end of the Central Line in a wooded gravel lake. Book on NOWCA app. Chigwell, IG7 5DF, beenduranceopenwater.com",2 mins,"51.6193, 0.0535","[""Entry fee""]"
"WEST RESERVOIR, HACKNEY","A Victorian former pump house stands proudly on its embankment overlooking the large sparkling oasis that is West Reservoir. Urban life is kept at bay. Accessible toilets and changing rooms for swimmers with disabilities, and ramp access into the water (Green Lanes, N4 2HA, 0208 442 8116 better.org.uk)",10 mins,"51.5667, -0.0919","[""Entry fee""]"
"HAMPSTEAD PONDS, THE HEATH","Three beautiful woodland swimming lakes set in the rolling hills of Hampstead Heath. Deep, dark and green. Changing areas and lifeguards. Close to train and tube. From Hampstead tube turn L down High St, then L after 500m down Downshire Hill (NW3 1PA). Cross onto Heath, bear L to pass first then second pond (both non-swimming). Mixed pond is next one up. Men’s pond and Ladies’ pond (beautiful and enclosed by trees) are ½ mile away, on opposite side of Heath, or via Millfield Lane off Highgate West Hill (N6 6JB).",15 mins,"51.5608, -0.1655","[""Entry fee"", ""Long swim possible"", ""Near a train station""]"
"SERPENTINE LAKE, HYDE PARK","Seasonal 40-acre lake in central London fed by underground springs. Extends between Lancaster Gate and Knightsbridge tube stations. On S side of lake, to E of bridge, with changing rooms. Lido Café Bar (W2 2UH, 020 7706 7098).",10 mins,"51.505, -0.1692","[""Entry fee"", ""Food / facilities"", ""Near a train station"", ""Long swim possible""]"
SURREY DOCKS WATERSPORTS,"OWS in the vibrant urban oasis and lively community of the docks (Rope St, SE16 7SX, 03330050409, southwarkleisure. co.uk/watersports)",5 mins,"51.4939, -0.0394","[""Entry fee""]"
"CANARY WHARF, LONDON","Perhaps best known for its towering skyscrapers and bustling financial district, Canary Wharf is located on a graceful oxbow curve of the meandering River Thames on the Isle of Dogs in East London. As you kick your way around the basin you can marvel at the juxtaposition of your peaceful swim against the frenzied backdrop of the city. An opportunity to experience Canary Wharf from a unique perspective. Seasonal swims organised by NOWCA (Mackenzie Walk, E14 4PH, loveopenwater.co.uk/canary-wharf)",10 mins,"51.5045, -0.0232","[""Entry fee""]"
"ROYAL DOCKS, LONDON","Dive into what was the largest enclosed docks system in the world. The water quality is good, and it’s checked every two weeks. To fully appreciate the grandeur of the place, arrive by the Emirates Air Line from Greenwich. loveopenwater.co.uk",5 mins,"51.5067, 0.0170","[""Entry fee""]"
BECKENHAM PLACE PARK,"A small lake once part of a mansion and estate. All year round OWS. BR3 1SY, 07736 930823, ptpcoaching.co.uk",10 mins,"51.4205, -0.0143","[""Entry fee""]"
"EYNSFORD, DARENT","A short walk from Eynsford Station, popular clear chalk stream, shallow pools and ford run through this pretty village. Great fun for kids. The Plough Inn is adjacent (DA4 0AE, 01322 862281). Upstream on lane is Lullingstone Castle gardens, Roman villa and lovely lake. Downstream along High St is Eynsford Castle (free).",3 mins,"51.3680, 0.2092","[""Kids / paddling"", ""Heritage / ruins"", ""Pub""]"
BLUEWATER LAKE,"Year-round supervised OWS in dramatic high-walled quarry on W side of the massive shopping centre, Also inflatables and zip wires. Book online hanglooseadventure.com",2 mins,"51.4387, 0.2641","[""Entry fee""]"
LEYBOURNE LAKES,"Country Park with network of many paths and gravel lakes, some wild. OWS session run by the watersport centre near the main car park (ME20 6JA, 01634 246006). leybournelakewatersports.co.uk",5 mins,"51.3154, 0.435","[""Entry fee""]"
