Name,Description,Walk time,Location,Tags
DUNMERE WEIR & OTTERS,"Deep in Pencarrow Woods the weir and salmon leap make a shady, secret, dappled place for a swim. This is also the perfect territory for the secretive but clever otters. Watch for them at dawn and dusk and if you get a sighting, do log it with the Cornwall Wildlife Trust to be added to their research. 500m upstream is Crabb’s Pool (50.4850, -4.7458). ½ mile NW of Bodmin A389 park behind Borough Arms, PL31 2RD. Head E on trail, dir Bodmin, but take first L dir Wenford Bridge and continue ½ mile.",20 mins,"50.4817, -4.747","[""Long swim possible"", ""On a cycle route"", ""Nature / wild flowers""]"
"DELPHY POOL, BODMIN","Jade green quarry pool with OWS, diving and spear fishing. Weekend sessions with 'wild spa' hot tub and sauna sessions. Members only. £35 per year plus £10 swim/£22 with sauna. Delphy Pool, St Breward, Hantergantick, PL30 4NH. 07817 326223.",2 mins,"50.5500, -4.6788","[""Entry fee""]"
"DELFORD/DELPHI BRIDGE, DE LANK","Pretty moorland stream and clapper bridge with a shallow, soft, sandy pool and large area of beach for children. Explore upstream for more picnic spots. Leave A30 St Breward/Temple, follow signs for St Breward, turning R after 4km, PL30 4NL.",2 mins,"50.5524, -4.6632","[""Kids / paddling""]"
CARBILLY QUARRY POOLS,"Three deep, spring-fed quarry pools lie among the tors, together with the ruins of several mine houses, including one with the remains of an impressive hearth and chimney. The little-known Trippet Stones circle is to the SE. Leave A30 St Breward/ Temple, follow signs for St Breward. After 1km the first track on R leads to the circle (50.5450, -4.6390) but continue another 400m to farm gate on R with some parking on verge, PL30 4LE. The land is open access, but be respectful and discreet. Walk up the track and bear off R after 150m, which leads to the ruined hearth and the first two pools where people often swim. Continue N up to the top which leads around the back of the biggest quarry pool, with high cliffs and views. Obey any No Swimming signage.",10 mins,"50.5486, -4.6469","[""Long swim possible"", ""Uncertain access""]"
CARDINHAM MOOR POOL,"On open moorland, just by the A30, the perfect place to blow away the cobwebs on a drive to west Cornwall. St Bellarmin’s Tor parking layby is on A30 W bound (dir Temple Fishery) or via Temple/St Breward exit E bound, PL30 4HW. Hop over the fence and it’s 400m on open access land W.",5 mins,"50.5191, -4.6413","[""Long swim possible""]"
"THE LAKE CABIN, GLYNN VALLEY","A remote flooded china clay quarry in openaccess moorland with fascinating mine ruins to explore. You can touch the water, but No Swimming unless you rent the simply converted, off-grid shipping container perched right on its shore (PL30 4DW). Book at canopyandstars.co.uk",5 mins,"50.5147, -4.6188","[""Entry fee"", ""Accommodation""]"
"KERDROYA LABYRINTH, COLLIFORD","Explore the new Kerdroya labyrinth, the largest of its kind in the world, made using traditional Cornish hedging techniques, right by the lake shore (PL14 6PZ). Colliford is a huge moorland reservoir, the highest and largest in Cornwall, just off A30. The whole W shore shore is open access with chalky, shelving beaches. No Swimming signs, but people do sometimes paddle.",2 mins,"50.5283, -4.5926","[""Heritage / ruins"", ""Uncertain access""]"
"GOLITHA FALLS, REDGATE","A popular spot where the young river Fowey tumbles down through ancient oak woodland. There is paddling before the river cascades down over boulders and small falls. At the bottom there is a small, secret plunge pool with golden sand, beyond the mine ruins. Car park at PL14 6RU.",15 mins,"50.4907, -4.5071","[""Nature / wild flowers"", ""Heritage / ruins"", ""Kids / paddling"", ""Long swim possible"", ""Waterfall""]"
"GOLDIGGINS QUARRY, MINIONS","A spring-fed quarry lake, out on the open moors hidden in a small grassy amphitheatre. Flat rock ledges for jumping. Popular with youngsters in summer. No Swimming signs. From the Hurlers car park, PL14 5LW, follow the vehicle track that heads N onto the moor, past the stone circle. After 15 mins bear L at the junction and continue another 750m to find the quarry.",25 mins,"50.5248, -4.4711","[""Long swim possible"", ""Secluded, remote"", ""Jump or rope swing"", ""Take extra care"", ""Walk in""]"
"THE PONY POOL, MINIONS","Beachy areas, gently shelving shallows and a waterfall make this small, sheltered lake nice for kids. As for Goldiggins but bear R at the junction. After the stream (about 300m) turn R off the track to find the lake and dam on the stream valley above.",20 mins,"50.5223, -4.4629","[""Long swim possible"", ""Waterfall"", ""Kids / paddling""]"
